"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,92.69,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,92.64,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,88,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,85.7,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,82.3,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,82.3,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,91.9,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,85,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2017","2017","PC","Percentage","0","Units",,,82,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2018","2018","PC","Percentage","0","Units",,,81,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,79.3,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2018","2018","PC","Percentage","0","Units",,,80.434,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,64.199996948242,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,78.8,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2017","2017","PC","Percentage","0","Units",,,93.57,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2018","2018","PC","Percentage","0","Units",,,93.9,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2017","2017","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,99.5,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,86.199996948242,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,87.3,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","POL","Poland","2017","2017","PC","Percentage","0","Units",,,73.599998474121,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","POL","Poland","2018","2018","PC","Percentage","0","Units",,,74.1,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","PRT","Portugal","2017","2017","PC","Percentage","0","Units",,,91.8,"B","Break"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,67.699996948242,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","SVK","Slovak Republic","2018","2018","PC","Percentage","0","Units",,,68.4,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,87,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","TUR","Turkey","2017","2017","PC","Percentage","0","Units",,,74.24,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","TUR","Turkey","2018","2018","PC","Percentage","0","Units",,,74.447,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","CHL","Chile","2017","2017","PC","Percentage","0","Units",,,99.97,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","EST","Estonia","2017","2017","PC","Percentage","0","Units",,,82.900001525879,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,99,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,99,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,70.800003051758,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,71.74239872,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,5,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,1.7,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","FRA","France","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","FRA","France","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,0.002592943,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","HUN","Hungary","2018","2018","PC","Percentage","0","Units",,,0.002592943,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,1.6,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,1.9,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,1.9,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","POL","Poland","2017","2017","PC","Percentage","0","Units",,,0.1,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","POL","Poland","2018","2018","PC","Percentage","0","Units",,,0.1,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","PRT","Portugal","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,0.5,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","SVK","Slovak Republic","2018","2018","PC","Percentage","0","Units",,,0.5,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","TUR","Turkey","2017","2017","PC","Percentage","0","Units",,,0,"E","Estimated value"
"PUBNOTR","Connected to a wastewater treatment plant without treatment","TUR","Turkey","2018","2018","PC","Percentage","0","Units",,,0,"E","Estimated value"
"PUBNOTR","Connected to a wastewater treatment plant without treatment","CHL","Chile","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","EST","Estonia","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,2.3,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,2.3,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,4.8,,
"PUBNOTR","Connected to a wastewater treatment plant without treatment","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,4.242398724,"E","Estimated value"
"PUBMECTR","Primary treatment","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,0,"E","Estimated value"
"PUBMECTR","Primary treatment","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,13.6,,
"PUBMECTR","Primary treatment","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,0.1,,
"PUBMECTR","Primary treatment","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,0.1,,
"PUBMECTR","Primary treatment","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,0.2,,
"PUBMECTR","Primary treatment","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,0.2,,
"PUBMECTR","Primary treatment","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","FRA","France","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","FRA","France","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,0.073,"E","Estimated value"
"PUBMECTR","Primary treatment","HUN","Hungary","2018","2018","PC","Percentage","0","Units",,,0.074,"E","Estimated value"
"PUBMECTR","Primary treatment","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,0.79,"E","Estimated value"
"PUBMECTR","Primary treatment","KOR","Korea","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","KOR","Korea","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","LUX","Luxembourg","2017","2017","PC","Percentage","0","Units",,,1.6,"E","Estimated value"
"PUBMECTR","Primary treatment","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,29.3,,
"PUBMECTR","Primary treatment","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,24.2,,
"PUBMECTR","Primary treatment","POL","Poland","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","POL","Poland","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","PRT","Portugal","2017","2017","PC","Percentage","0","Units",,,6.97,,
"PUBMECTR","Primary treatment","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","TUR","Turkey","2017","2017","PC","Percentage","0","Units",,,13.761,,
"PUBMECTR","Primary treatment","TUR","Turkey","2018","2018","PC","Percentage","0","Units",,,13.657,,
"PUBMECTR","Primary treatment","CHL","Chile","2017","2017","PC","Percentage","0","Units",,,26.73,,
"PUBMECTR","Primary treatment","EST","Estonia","2017","2017","PC","Percentage","0","Units",,,0.03,,
"PUBMECTR","Primary treatment","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,4.8,,
"PUBMECTR","Primary treatment","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,4.6,,
"PUBMECTR","Primary treatment","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,0,,
"PUBMECTR","Primary treatment","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBBIOTR","Secondary treatment","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,1.3,,
"PUBBIOTR","Secondary treatment","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,8.37,"E","Estimated value"
"PUBBIOTR","Secondary treatment","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,42.6,,
"PUBBIOTR","Secondary treatment","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,8.4,,
"PUBBIOTR","Secondary treatment","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,7.8,,
"PUBBIOTR","Secondary treatment","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,1.4,,
"PUBBIOTR","Secondary treatment","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,1.3,,
"PUBBIOTR","Secondary treatment","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,0,,
"PUBBIOTR","Secondary treatment","FRA","France","2017","2017","PC","Percentage","0","Units",,,11,,
"PUBBIOTR","Secondary treatment","FRA","France","2018","2018","PC","Percentage","0","Units",,,10.9,,
"PUBBIOTR","Secondary treatment","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,7.113,"E","Estimated value"
"PUBBIOTR","Secondary treatment","HUN","Hungary","2018","2018","PC","Percentage","0","Units",,,7.075,"E","Estimated value"
"PUBBIOTR","Secondary treatment","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,40.24,"E","Estimated value"
"PUBBIOTR","Secondary treatment","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,49.3,,
"PUBBIOTR","Secondary treatment","KOR","Korea","2017","2017","PC","Percentage","0","Units",,,2.28,,
"PUBBIOTR","Secondary treatment","KOR","Korea","2018","2018","PC","Percentage","0","Units",,,3.02,,
"PUBBIOTR","Secondary treatment","LUX","Luxembourg","2017","2017","PC","Percentage","0","Units",,,21.8,"E","Estimated value"
"PUBBIOTR","Secondary treatment","NLD","Netherlands","2017","2017","PC","Percentage","0","Units",,,0.2,,
"PUBBIOTR","Secondary treatment","NLD","Netherlands","2018","2018","PC","Percentage","0","Units",,,0.1,,
"PUBBIOTR","Secondary treatment","NOR","Norway","2017","2017","PC","Percentage","0","Units",,,9.4,,
"PUBBIOTR","Secondary treatment","NOR","Norway","2018","2018","PC","Percentage","0","Units",,,6.7,,
"PUBBIOTR","Secondary treatment","POL","Poland","2017","2017","PC","Percentage","0","Units",,,14,,
"PUBBIOTR","Secondary treatment","POL","Poland","2018","2018","PC","Percentage","0","Units",,,14,,
"PUBBIOTR","Secondary treatment","PRT","Portugal","2017","2017","PC","Percentage","0","Units",,,46.66,,
"PUBBIOTR","Secondary treatment","SVK","Slovak Republic","2017","2017","PC","Percentage","0","Units",,,63.2,,
"PUBBIOTR","Secondary treatment","SVK","Slovak Republic","2018","2018","PC","Percentage","0","Units",,,63.9,,
"PUBBIOTR","Secondary treatment","SWE","Sweden","2017","2017","PC","Percentage","0","Units",,,4,,
"PUBBIOTR","Secondary treatment","TUR","Turkey","2017","2017","PC","Percentage","0","Units",,,24.215,,
"PUBBIOTR","Secondary treatment","TUR","Turkey","2018","2018","PC","Percentage","0","Units",,,24.203,,
"PUBBIOTR","Secondary treatment","EST","Estonia","2017","2017","PC","Percentage","0","Units",,,3.3,,
"PUBBIOTR","Secondary treatment","ISR","Israel","2017","2017","PC","Percentage","0","Units",,,37.1,,
"PUBBIOTR","Secondary treatment","ISR","Israel","2018","2018","PC","Percentage","0","Units",,,36.8,,
"PUBBIOTR","Secondary treatment","SVN","Slovenia","2017","2017","PC","Percentage","0","Units",,,24.3,,
"PUBBIOTR","Secondary treatment","SVN","Slovenia","2018","2018","PC","Percentage","0","Units",,,23.2,,
"PUBADVTR","Tertiary treatment","AUT","Austria","2018","2018","PC","Percentage","0","Units",,,94.64,,
"PUBADVTR","Tertiary treatment","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,74.59,"E","Estimated value"
"PUBADVTR","Tertiary treatment","CAN","Canada","2017","2017","PC","Percentage","0","Units",,,27.8,,
"PUBADVTR","Tertiary treatment","CZE","Czech Republic","2017","2017","PC","Percentage","0","Units",,,73.9,,
"PUBADVTR","Tertiary treatment","CZE","Czech Republic","2018","2018","PC","Percentage","0","Units",,,74.5,,
"PUBADVTR","Tertiary treatment","DNK","Denmark","2017","2017","PC","Percentage","0","Units",,,90.4,,
"PUBADVTR","Tertiary treatment","DNK","Denmark","2018","2018","PC","Percentage","0","Units",,,90.5,,
"PUBADVTR","Tertiary treatment","FIN","Finland","2018","2018","PC","Percentage","0","Units",,,85,,
"PUBADVTR","Tertiary treatment","FRA","France","2017","2017","PC","Percentage","0","Units",,,69,,
"PUBADVTR","Tertiary treatment","FRA","France","2018","2018","PC","Percentage","0","Units",,,68.3,,
"PUBADVTR","Tertiary treatment","HUN","Hungary","2017","2017","PC","Percentage","0","Units",,,72.006,"E","Estimated value"
"PUBADVTR","Tertiary treatment","HUN","Hungary","2018","2018","PC","Percentage","0","Units",,,73.285,"E","Estimated value"
"PUBADVTR","Tertiary treatment","IRL","Ireland","2017","2017","PC","Percentage","0","Units",,,20.91,"E","Estimated value"
"PUBADVTR","Tertiary treatment","JPN","Japan","2017","2017","PC","Percentage","0","Units",,,29.5,,
"PUBADVTR","Tertiary treatment","KOR","Korea","2017","2017","PC","Percentage","0","Units",,,90.92,,
"PUBADVTR","Tertiary treatment","KOR","Korea","2018","2018","PC","Percentage","0","Units",,,90.53,,
